latitude,longitude
39.324283, -120.395334
39.323959, -120.397202
39.318245, -120.430597
39.316194, -120.436270
39.315005, -120.442012
39.314959, -120.442307
39.314296, -120.445546
39.313838, -120.447754
39.313929, -120.449390
39.315089, -120.457788
39.315164, -120.458297
39.313650, -120.469789
39.313634, -120.470200
39.312343, -120.486298
39.311790, -120.496340
39.311779, -120.499543
39.311761, -120.502410
39.308155, -120.519610
39.305594, -120.523086
39.305528, -120.532243
39.305282, -120.533682
39.304907, -120.534757
39.307960, -120.541281
39.308619, -120.542311
39.309374, -120.543430
39.309786, -120.544107
39.310221, -120.544726
39.310862, -120.545874
39.315415, -120.555564
39.315621, -120.556150
39.315941, -120.556739
39.316097, -120.557316
39.319510, -120.564042
39.320128, -120.565102
39.320729, -120.566033
39.329979, -120.589543
39.326025, -120.597501
39.325841, -120.600240
39.325612, -120.600977
39.323095, -120.603479
39.322802, -120.603668
39.322059, -120.604343
39.320206, -120.607517
39.318311, -120.611339
39.317236, -120.613400
39.316915, -120.614107
39.316549, -120.614784
39.316022, -120.615785
39.315678, -120.616903
39.315427, -120.617198
39.314773, -120.622679
39.304746, -120.650355
39.302964, -120.658042
39.302004, -120.661134
39.301204, -120.664285
39.299380, -120.671279
39.293907, -120.677427
39.293268, -120.678478
39.292719, -120.679773
39.292148, -120.682158
39.285696, -120.700411
39.285353, -120.701029
39.283911, -120.704031
39.282332, -120.707533
39.279289, -120.713037
39.269152, -120.720744
39.267344, -120.725776
39.261861, -120.730622
39.257068, -120.734245
39.248244, -120.743316
39.244781, -120.746590
39.239034, -120.752413
39.237981, -120.752591
39.237341, -120.752826
39.236769, -120.753092
39.235649, -120.753828
39.231087, -120.760212
39.228698, -120.761659
39.218613, -120.773811
39.215938, -120.775726
39.215206, -120.776403
39.214749, -120.777050
39.214337, -120.777786
39.213880, -120.778492
39.210244, -120.784787
39.209741, -120.785522
39.209352, -120.786346
39.208963, -120.786993
39.208528, -120.787640
39.204915, -120.794552
39.204448, -120.795182
39.203954, -120.795847
39.203100, -120.805977
39.202446, -120.810137
39.201760, -120.812078
39.199243, -120.814254
39.198886, -120.814494
39.187757, -120.829718
39.187780, -120.830571
39.187986, -120.831453
39.188260, -120.832305
39.188375, -120.832893
39.188741, -120.834187
39.185740, -120.846622
39.185603, -120.846828
39.184756, -120.847827
39.184161, -120.848326
39.183566, -120.848679
39.181598, -120.850353
39.179584, -120.852880
39.179149, -120.853350
39.177272, -120.855701
39.176494, -120.856465
39.175647, -120.857463
39.175166, -120.858110
39.174777, -120.858668
39.174068, -120.859461
39.171618, -120.867695
39.170898, -120.870647
39.167511, -120.875305
39.166096, -120.875704
39.161363, -120.875440
39.161254, -120.875460
39.154735, -120.888310
39.151566, -120.895132
39.150798, -120.896711
39.150433, -120.897299
39.150067, -120.897945
39.149952, -120.898092
39.149770, -120.898533
39.149669, -120.898778
39.149564, -120.899033
39.149152, -120.899797
39.147396, -120.903698
39.147175, -120.904963
39.147190, -120.905766
39.147278, -120.907761
39.147186, -120.908496
39.147153, -120.908605
39.147027, -120.909027
39.146958, -120.909260
39.138746, -120.919810
39.127788, -120.937762
39.124148, -120.939826
